"","x"
"689","BRD.K33622447.066.01.9"
"690","BRD.K90195324.003.02.5"
"691","BRD.A28545468.003.16.6"
"692","BRD.A90547603.001.02.5"
"693","BRD.A90625545.001.02.0"
"694","BRD.A26690767.066.01.9"
"695","BRD.K91111634.001.01.2"
"696","BRD.K91263825.003.21.4"
"697","BRD.K91315211.300.05.7"
"698","BRD.K28667793.001.28.1"
"699","BRD.A42167015.003.10.2"
"700","BRD.K27316855.001.19.0"
"701","BRD.K28143534.003.25.9"
"702","BRD.A91699651.316.10.9"
"703","BRD.K99615199.001.18.5"
"704","BRD.K61192372.001.08.9"
"705","BRD.K92049597.001.20.8"
"706","BRD.K92093830.003.30.8"
"707","BRD.A29260609.003.26.0"
"708","BRD.A25234499.001.18.3"
"709","BRD.A54490543.066.11.9"
"710","BRD.K51671335.001.10.6"
"711","BRD.A98845662.036.03.7"
"712","BRD.A98990573.003.01.3"
"713","BRD.K99792991.001.34.9"
"714","BRD.A99939097.001.24.2"
"715","BRD.K10799896.001.26.2"
"716","BRD.A02759312.003.24.5"
"717","BRD.K38911213.003.01.6"
"718","BRD.K64716392.001.01.3"
"719","BRD.K36859431.300.02.3"
"720","BRD.K07940445.310.02.9"
"721","BRD.K99383816.001.02.7"
"722","BRD.A65051990.001.12.9"
"723","BRD.K91740057.001.19.8"
"724","BRD.A15931911.001.03.8"
"725","BRD.K30421593.050.04.9"
"726","BRD.K61237927.001.01.7"
"727","BRD.A75850590.213.01.0"
"728","BRD.K15697815.001.16.2"
"729","BRD.K75958195.037.09.4"
"730","BRD.K32768103.051.02.6"
"731","BRD.A88369366.001.01.7"
"732","BRD.K88366685.300.06.0"
"733","BRD.K88429204.001.35.1"
"734","BRD.K88510285.001.11.1"
"735","BRD.K26657438.001.15.2"
