"","x"
"244","BRD.K13050541.001.01.9..2.8..HTS"
"245","BRD.K13094524.001.07.5..2.63..HTS"
"246","BRD.K13112821.001.17.4..2.5..HTS"
"247","BRD.K13167095.001.02.9..2.5..HTS"
"248","BRD.K13169950.001.14.4..2.5..HTS"
"249","BRD.K13183738.317.10.2..2.5..HTS"
"250","BRD.K13249881.001.02.3..2.5..HTS"
"251","BRD.K13314656.001.01.0..2.5..HTS"
"252","BRD.K13387373.004.14.5..2.5..HTS"
"253","BRD.K13390322.001.06.3..2.5..HTS"
"254","BRD.K13409143.001.01.9..2.5..HTS"
"255","BRD.K13514097.001.05.3..2.5..HTS"
"256","BRD.K13566078.001.02.3..2.5..HTS"
"257","BRD.K13606314.001.01.3..2.5..HTS"
"258","BRD.K13646352.001.03.8..2.5..HTS"
"259","BRD.K13662825.001.07.5..2.5..HTS"
"260","BRD.K13756951.001.01.4..2.5..HTS"
"261","BRD.K13810148.311.03.2..2.5..HTS"
"262","BRD.K13949769.001.01.7..2.5..HTS"
"263","BRD.K14003026.003.09.0..2.46..HTS"
"264","BRD.K14109347.001.03.4..2.5..HTS"
"265","BRD.K14385366.001.04.4..2.59..HTS"
"266","BRD.K14529030.001.01.9..2.5..HTS"
"267","BRD.K14560436.001.01.4..2.5..HTS"
"268","BRD.K14618467.001.04.6..2.5..HTS"
"269","BRD.K14796088.003.26.8..2.5..HTS"
"270","BRD.K14991967.001.02.6..2.5..HTS"
"271","BRD.K15025317.001.15.1..2.5..HTS"
"272","BRD.K15108141.001.06.6..2.5..HTS"
"273","BRD.K15179513.001.03.4..2.5..HTS"
"274","BRD.K15179879.001.03.2..2.5..HTS"
"275","BRD.K15409150.001.05.8..2.5..HTS"
"276","BRD.K15424032.001.03.6..2.5..HTS"
"277","BRD.K15519488.050.01.3..2.5..HTS"
"278","BRD.K15567136.003.27.2..2.5..HTS"
"279","BRD.K15600710.066.04.1..2.5..HTS"
"280","BRD.K15898725.001.01.7..2.5..HTS"
"281","BRD.K16136380.001.01.7..2.5..HTS"
"282","BRD.K16189898.003.03.3..2.5..HTS"
"283","BRD.K16277217.001.10.9..2.5..HTS"
"284","BRD.K16338837.001.02.6..2.5..HTS"
"285","BRD.K16478699.001.09.2..2.5..HTS"
"286","BRD.K16485616.001.08.9..2.5..HTS"
"287","BRD.K16551357.001.03.2..2.5..HTS"
"288","BRD.K16664969.001.03.3..2.5..HTS"
"289","BRD.K16730910.001.07.3..2.5..HTS"
"290","BRD.K17026858.001.01.2..2.5..HTS"
"291","BRD.K17061841.001.03.5..2.5..HTS"
"292","BRD.K17075857.001.18.4..2.5..HTS"
"293","BRD.K17203476.001.01.9..2.5..HTS"
"294","BRD.K17555800.003.01.5..2.5..HTS"
"295","BRD.K17702546.001.03.2..2.5..HTS"
"296","BRD.K17705806.003.04.4..2.5..HTS"
"297","BRD.K17743125.001.08.4..2.5..HTS"
"298","BRD.K18157228.001.01.7..2.5..HTS"
"299","BRD.K18163608.001.05.6..2.48..HTS"
"300","BRD.K18375018.376.02.3..2.5..HTS"
"301","BRD.K18424115.003.01.3..2.5..HTS"
"302","BRD.K18518344.001.15.9..2.5..HTS"
"303","BRD.K18574842.236.17.7..2.5..HTS"
"304","BRD.K18619710.001.14.4..2.5..HTS"
"305","BRD.K18779551.003.07.8..2.5..HTS"
"306","BRD.K18787491.001.08.6..2.5..HTS"
"307","BRD.K18834913.001.01.1..2.5..HTS"
"308","BRD.K18850819.001.04.6..2.5..HTS"
"309","BRD.K18961567.001.01.1..2.5..HTS"
"310","BRD.K19034817.001.01.4..2.5..HTS"
"311","BRD.K19061412.001.02.4..2.5..HTS"
"312","BRD.K19136521.001.08.9..2.5..HTS"
"313","BRD.K19295594.015.14.3..2.29..HTS"
"314","BRD.K19333160.001.01.3..2.5..HTS"
"315","BRD.K19540840.001.09.4..2.5..HTS"
"316","BRD.K19615002.001.02.3..2.5..HTS"
"317","BRD.K19669037.001.01.1..2.5..HTS"
"318","BRD.K19687926.379.07.4..2.5..HTS"
"319","BRD.K20285085.001.07.1..2.5..HTS"
"320","BRD.K20285085.074.04.5..2.5..HTS"
"321","BRD.K20290250.001.02.1..2.38..HTS"
"322","BRD.K20482099.001.09.4..2.5..HTS"
"323","BRD.K20545304.001.01.6..2.5..HTS"
"324","BRD.K20605374.001.05.4..2.5..HTS"
"325","BRD.K20722021.001.02.1..2.5..HTS"
"326","BRD.K20958582.001.01.4..2.5..HTS"
"327","BRD.K21025364.001.04.9..2.5..HTS"
"328","BRD.K21025364.001.05.6..2.44..HTS"
"329","BRD.K21164796.001.02.8..2.5..HTS"
"330","BRD.K21283037.001.21.5..2.5..HTS"
"331","BRD.K21361524.001.01.1..2.5..HTS"
"332","BRD.K21528677.001.02.8..2.44..HTS"
"333","BRD.K21528677.001.03.6..2.5..HTS"
"334","BRD.K21547160.001.01.4..2.5..HTS"
"335","BRD.K21680192.300.14.4..2.5..HTS"
"336","BRD.K21718444.001.06.8..2.5..HTS"
"337","BRD.K21728777.001.02.3..2.5..HTS"
"338","BRD.K21782625.001.03.2..2.45..HTS"
"339","BRD.K21937671.001.09.2..2.53..HTS"
"340","BRD.K22025381.003.01.9..2.5..HTS"
"341","BRD.K22127577.001.03.7..2.58..HTS"
"342","BRD.K22134346.001.22.3..2.5..HTS"
"343","BRD.K22134346.001.24.9..2.42..HTS"
"344","BRD.K22385716.001.02.5..2.5..HTS"
"345","BRD.K22503835.001.11.0..2.5..HTS"
"346","BRD.K23190681.001.01.1..2.5..HTS"
"347","BRD.K23228615.001.02.8..2.5..HTS"
"348","BRD.K23301018.001.11.7..2.63..HTS"
"349","BRD.K23363278.001.02.1..2.5..HTS"
"350","BRD.K23677682.003.01.2..2.5..HTS"
"351","BRD.K23779958.001.05.8..2.5..HTS"
"352","BRD.K23925186.001.01.0..2.5..HTS"
"353","BRD.K23925186.001.02.8..2.51..HTS"
"354","BRD.K24187789.001.01.7..2.5..HTS"
"355","BRD.K24556098.001.16.7..2.45..HTS"
"356","BRD.K24556407.001.02.3..2.5..HTS"
"357","BRD.K24566386.001.01.9..2.5..HTS"
"358","BRD.K24576554.001.04.8..2.5..HTS"
"359","BRD.K24593301.001.02.3..2.54..HTS"
"360","BRD.K24696047.001.02.3..2.5..HTS"
"361","BRD.K24715592.406.02.1..2.53..HTS"
"362","BRD.K24844714.001.24.5..2.5..HTS"
"363","BRD.K24869513.001.02.1..2.5..HTS"
"364","BRD.K25244359.066.03.4..2.68..HTS"
"365","BRD.K25279140.001.01.5..2.5..HTS"
"366","BRD.K25340465.001.11.1..2.58..HTS"
"367","BRD.K25412176.001.01.9..2.5..HTS"
"368","BRD.K25630527.001.03.8..2.5..HTS"
"369","BRD.K25835157.001.01.4..2.5..HTS"
"370","BRD.K25837718.001.03.8..2.5..HTS"
"371","BRD.K26168087.001.09.7..2.5..HTS"
"372","BRD.K26253904.001.01.5..2.5..HTS"
"373","BRD.K26531771.001.02.2..2.35..HTS"
"374","BRD.K26603252.003.04.9..2.5..HTS"
"375","BRD.K26619122.001.02.1..2.5..HTS"
"376","BRD.K26634012.001.04.9..2.5..HTS"
"377","BRD.K26667523.001.02.5..2.5..HTS"
"378","BRD.K26712974.001.01.5..2.5..HTS"
"379","BRD.K26756394.001.02.2..2.5..HTS"
"380","BRD.K26818574.305.04.3..2.5..HTS"
"381","BRD.K26833429.001.02.8..2.5..HTS"
"382","BRD.K26838195.075.04.9..2.5..HTS"
"383","BRD.K26997899.001.02.2..2.5..HTS"
"384","BRD.K27182532.001.02.3..2.5..HTS"
"385","BRD.K27184429.300.01.3..2.5..HTS"
"386","BRD.K27217864.001.22.3..2.5..HTS"
"387","BRD.K27316855.001.13.3..2.44..HTS"
"388","BRD.K27799744.001.02.8..2.52..HTS"
"389","BRD.K28120222.001.08.4..2.5..HTS"
"390","BRD.K28143534.001.02.2..2.5..HTS"
"391","BRD.K28352084.001.02.3..2.5..HTS"
"392","BRD.K28360340.001.08.3..2.31..HTS"
"393","BRD.K28392481.001.05.1..2.5..HTS"
"394","BRD.K28542495.003.13.5..2.5..HTS"
"395","BRD.K28822270.001.01.1..2.5..HTS"
"396","BRD.K28824103.001.02.8..2.5..HTS"
"397","BRD.K28907958.001.04.3..2.5..HTS"
"398","BRD.K28965160.001.01.1..2.5..HTS"
"399","BRD.K29173907.001.09.2..2.5..HTS"
