"","x"
"910","ARFGEF1"
"911","ZFAT"
"912","MTFR1"
"913","STAG3"
"914","FECH"
"915","MYO9A"
"916","DDX3Y"
"917","PFKP"
"918","IDI1"
"919","SP100"
"920","KLF6"
"921","PLPP1"
"922","NEO1"
"923","TRAM1"
"924","PHKA1"
"925","TNFRSF1A"
"926","CACNB1"
"927","EVI5"
"928","STOML1"
"929","PKM"
"930","DHX29"
"931","DNTTIP2"
"932","METTL22"
"933","TP53BP1"
"934","TRO"
"935","RRP15"
"936","RHOA"
"937","DHX8"
"938","PRKCZ"
"939","ZFY"
"940","IARS2"
"941","SYT1"
"942","NAV3"
"943","IDH3G"
"944","ROGDI"
"945","PDZD4"
"946","ATP2B3"
"947","ROCK1"
"948","CBFB"
"949","PDK3"
"950","HYAL2"
"951","HDAC4"
"952","RASSF1"
"953","FGFR3"
"954","IFI35"
"955","HEATR6"
"956","COASY"
"957","PLEKHH3"
"958","MEF2A"
"959","OTUD5"
"960","TFE3"
"961","TBC1D25"
"962","ACSL4"
"963","INPP5A"
"964","GPKOW"
"965","GRIPAP1"
"966","FTSJ1"
"967","PRR11"
"968","REEP1"
"969","ATP11A"
"970","POLR1A"
"971","LAPTM4A"
"972","TTC7A"
"973","IP6K2"
"974","SRBD1"
"975","KIF2A"
"976","RASGRP2"
"977","PSME4"
"978","IFT80"
"979","SIRT2"
"980","ERLEC1"
"981","PPP2R5B"
"982","PYGM"
"983","PAGE1"
"984","PITX1"
"985","MAST4"
"986","ADGRF5"
"987","SDK2"
"988","NUP133"
"989","NUCKS1"
"990","VPS35"
"991","DNAJA2"
"992","BCL3"
"993","KCNAB2"
"994","ABCC9"
"995","GAL"
"996","CLEC2D"
"997","FUNDC1"
"998","MAOB"
"999","RORA"
"1000","TGFBR3"
"1001","PLA2G10"
"1002","HES2"
"1003","ATP1B3"
"1004","NEDD4"
"1005","PIGB"
"1006","MAPK6"
"1007","GNB5"
"1008","RAB27A"
"1009","HDHD5"
"1010","UFD1"
"1011","LRP6"
"1012","GUCY2C"
"1013","PHRF1"
"1014","ELP1"
"1015","NUCB2"
"1016","PFN2"
"1017","PTPN3"
"1018","SPTB"
"1019","DAPP1"
"1020","SLC44A1"
"1021","TMEM260"
"1022","SMG6"
"1023","EXOC5"
"1024","CLTCL1"
"1025","FSTL3"
"1026","DGCR2"
"1027","RNF126"
"1028","MNT"
"1029","ZXDC"
"1030","JMJD6"
"1031","POLB"
"1032","ST6GALNAC1"
"1033","WIPI1"
"1034","GBA2"
"1035","NDST1"
"1036","ASNS"
"1037","AP3M2"
"1038","ST6GALNAC2"
"1039","PABPC1"
"1040","TESK2"
"1041","CFAP20"
"1042","CSNK2A2"
"1043","PTPN21"
"1044","EIF2B3"
"1045","TCOF1"
"1046","CDC42"
"1047","OSBPL3"
"1048","EPHA8"
"1049","RAD18"
"1050","ATP2B1"
"1051","NCK2"
"1052","MAP4K4"
"1053","MGAT4A"
"1054","RPL31"
"1055","WDR1"
"1056","SNX13"
"1057","ARHGAP10"
"1058","RPS6KA2"
"1059","ING3"
"1060","VASH1"
"1061","LMCD1"
"1062","BUD23"
"1063","SEL1L"
"1064","TRIP13"
"1065","ATP6AP1"
"1066","TCF3"
"1067","TRIB2"
"1068","DAZAP1"
"1069","MBD3"
"1070","HLTF"
"1071","FAM50A"
"1072","FAM3A"
"1073","CPSF1"
"1074","MYO3B"
"1075","CYBRD1"
"1076","CDH19"
"1077","PDCD2"
"1078","SLC6A15"
"1079","RDH11"
"1080","PRKACA"
"1081","ADGRL1"
"1082","ACTN1"
"1083","ZFYVE26"
"1084","RPS6KA6"
"1085","EPN2"
"1086","PTPN18"
"1087","LIMS2"
"1088","SPEG"
"1089","LNX1"
"1090","ALDH3A2"
"1091","TFRC"
"1092","SREBF1"
"1093","AFF4"
"1094","UBE2D1"
"1095","MPP5"
"1096","RHOBTB1"
"1097","SMC1A"
"1098","HSD17B10"
"1099","MARK2"
"1100","HMMR"
"1101","CHFR"
"1102","TRHDE"
"1103","P4HA2"
"1104","FCGR2B"
"1105","NFATC3"
"1106","TRNT1"
"1107","ACADVL"
"1108","STK10"
"1109","FBXW11"
"1110","ACAP1"
"1111","CRMP1"
"1112","EVC"
"1113","DERL2"
"1114","SIDT1"
"1115","NDE1"
"1116","IRAG1"
"1117","TMEM38A"
"1118","AP1M1"
"1119","PVR"
"1120","XRCC1"
"1121","SCARB1"
"1122","CYP2W1"
"1123","MCM2"
"1124","PANX2"
"1125","SELENOO"
"1126","TP63"
"1127","ALPK1"
"1128","LLGL2"
"1129","PDE8A"
"1130","CLCN4"
"1131","NLE1"
"1132","SDHA"
"1133","SMARCE1"
"1134","GSDMB"
"1135","KDM5A"
"1136","ADAM11"
"1137","PPP2R3A"
"1138","FERMT2"
"1139","DHRS9"
"1140","PTGS2"
"1141","IGF2BP2"
"1142","MAP3K13"
"1143","ST6GAL1"
"1144","FRY"
"1145","PICALM"
"1146","NSF"
"1147","GLI2"
"1148","CLASP1"
"1149","MRPS34"
"1150","NOTCH3"
"1151","CLNS1A"
"1152","PPP2R2C"
"1153","TEAD2"
"1154","EED"
"1155","CDHR2"
"1156","SNCB"
"1157","TSG101"
"1158","NCBP3"
"1159","ATP2A3"
"1160","CA12"
"1161","MGLL"
"1162","NTN4"
"1163","BCS1L"
"1164","NUAK1"
"1165","DPP8"
"1166","SLC24A1"
"1167","ZNF532"
"1168","SCARF1"
"1169","LMAN1"
"1170","HACD3"
"1171","IPCEF1"
"1172","ZZEF1"
"1173","ENO1"
"1174","MYDGF"
"1175","ANO8"
"1176","TUBE1"
"1177","ARHGEF10L"
"1178","TXK"
"1179","KCNQ2"
"1180","ACTR6"
"1181","TIPIN"
"1182","SRI"
"1183","EIF4G3"
"1184","NUP37"
"1185","SEMA3A"
"1186","GTSE1"
"1187","SEMA3C"
"1188","TTC38"
"1189","ACAT1"
"1190","GRAMD4"
"1191","CELSR1"
"1192","ZNF638"
"1193","SLC25A40"
"1194","TIMM21"
"1195","ADD2"
"1196","RASAL2"
"1197","VPS9D1"
"1198","ZNF37A"
"1199","MARK3"
"1200","SLC25A3"
"1201","FNDC3B"
"1202","FOSL2"
"1203","CACNG4"
"1204","FRYL"
"1205","TMEM131"
"1206","FSCN1"
"1207","ACTB"
"1208","MOCOS"
"1209","PLD1"
"1210","WDR62"
"1211","DLG1"
"1212","RAB7A"
"1213","BCAP29"
"1214","SEC31B"
"1215","SART3"
"1216","ARHGAP15"
"1217","PAX2"
"1218","EXOSC7"
"1219","KIFAP3"
"1220","MKRN2"
"1221","MCM6"
"1222","REXO2"
"1223","RBM7"
"1224","RBMS2"
"1225","BAZ2A"
"1226","PTPN23"
"1227","MLH1"
"1228","UNG"
"1229","FMO4"
"1230","KLHL20"
"1231","RGS11"
"1232","SLC46A1"
"1233","PLXNA2"
"1234","SPAG5"
"1235","ANKRD13A"
"1236","TPD52"
"1237","ACACB"
"1238","TRAF4"
"1239","PAG1"
"1240","GPATCH1"
"1241","ICAM3"
"1242","NT5C2"
"1243","MCAM"
"1244","GPC4"
"1245","MBNL3"
"1246","CAMSAP3"
"1247","RAP1GAP"
"1248","XAB2"
"1249","ARHGEF1"
"1250","STXBP2"
"1251","MAP2K7"
"1252","DGKD"
"1253","CTTNBP2"
"1254","ACTL6B"
"1255","RARB"
"1256","TOP2B"
"1257","TM9SF3"
"1258","NFKB2"
"1259","UBE2T"
"1260","PPP1R12B"
"1261","DNAJC10"
"1262","GTF3C1"
"1263","IL4R"
"1264","USP33"
"1265","PAK3"
"1266","CAPN6"
"1267","DCX"
"1268","SNRPA"
"1269","SPAG6"
"1270","EXOSC5"
"1271","DYNC1I2"
"1272","APBB1IP"
"1273","LRCH4"
"1274","FAM76B"
"1275","SIRT6"
"1276","TYR"
"1277","POLD3"
"1278","ACTN2"
"1279","CAPZB"
"1280","GPR137B"
"1281","NAALAD2"
"1282","JADE1"
"1283","SLC25A43"
"1284","UBE2A"
"1285","FGFR1"
"1286","SMC1B"
"1287","FBLN1"
"1288","ITGA8"
"1289","CST7"
"1290","MAP2"
"1291","PIAS2"
"1292","AMPH"
"1293","ARAF"
"1294","MCCC1"
"1295","LAMP3"
"1296","FAP"
"1297","NEBL"
"1298","ACER3"
"1299","UBE2K"
"1300","PIK3C3"
"1301","N4BP2"
"1302","TIGAR"
"1303","TULP3"
"1304","SYNJ2"
"1305","ADCY2"
"1306","PPP2R5C"
"1307","RBFOX1"
"1308","GNB1"
"1309","HOXA9"
"1310","EDN1"
"1311","MLLT10"
"1312","ZCWPW1"
"1313","ADCYAP1R1"
"1314","P2RY10"
"1315","ITM2A"
"1316","NRDC"
"1317","VDAC3"
"1318","PCM1"
"1319","TNRC6C"
"1320","CBFA2T2"
"1321","BRINP1"
"1322","ITCH"
"1323","TP53INP2"
"1324","SDF4"
"1325","TP73"
"1326","TOLLIP"
"1327","UBE2D4"
"1328","CLUL1"
"1329","RUNX1T1"
"1330","CDH17"
"1331","THOC1"
"1332","FKBP7"
"1333","OSBPL6"
"1334","SLC1A3"
"1335","XRCC5"
"1336","LXN"
"1337","SP140"
"1338","MKNK1"
"1339","TNS1"
"1340","REXO1"
"1341","SAR1A"
"1342","CDC14A"
"1343","RAPGEF3"
"1344","CEACAM1"
"1345","SENP1"
"1346","DUSP13"
"1347","CIC"
"1348","LIPE"
"1349","FDFT1"
"1350","PAFAH1B3"
"1351","OPHN1"
"1352","KIF22"
"1353","SCGN"
"1354","CARMIL1"
"1355","PGM1"
"1356","DDX1"
"1357","DNM2"
"1358","EPB41L2"
"1359","RIMS1"
"1360","MOXD1"
"1361","STX7"
"1362","RABL2B"
"1363","KEAP1"
"1364","DDX43"
"1365","PTPRH"
"1366","DCT"
"1367","SLC35C2"
"1368","CRYBG3"
"1369","EPHA6"
"1370","RFX3"
"1371","RIF1"
"1372","RAB21"
"1373","SLC4A4"
"1374","SMARCA2"
"1375","SESN1"
