"","Primary","Secondary","IM_101_Cut","BL1_Corr","BL2_Corr","M_Corr","LAR_Corr","MSL_Corr","IM_101_Corr","BL1_Cut","BL2_Cut","M_Cut","LAR_Cut","MSL_Cut"
"ACH.000711","ND","ND","0","-0.0634189876035307","0.0825741992359683","-0.0743026305765066","0.00939258388567821","0.16746661442518","0.127850154003548","0","0","0","0","0"
"ACH.001515","ND","ND","0","-0.0128100477791927","-0.284531078242509","0.00830421958838062","0.0462445989921747","0.127871921289494","0.0514034457613652","0","0","0","0","0"
"ACH.000702","BL1","ND","1","0.219055082117086","-0.160239875491124","-0.138712029690578","0.0308768951143327","-0.236316539872226","0.262611421294936","1","0","0","0","0"
"ACH.001020","BL2","ND","0","-0.0272417583613587","0.359562912898205","-0.308409790925218","0.0413251923683896","-0.384573524450104","0.162329534941936","0","1","0","0","0"
"ACH.000600","BL1","ND","1","0.274997006998182","-0.165289885830585","-0.228719757077089","-0.0656827853419096","-0.0175988506873021","0.358387479457124","1","0","0","0","0"
"ACH.000354","M","ND","0","-0.0213428238700058","-0.322754432363601","0.234096276705739","0.0368628987494694","0.0685778343727212","-0.26635539447764","0","0","1","0","0"
"ACH.000012","LAR","ND","0","-0.158955605620313","-0.200182845201946","-0.266224790761964","0.517136295860951","0.0292878832402782","0.0165104863900045","0","0","0","1","0"
"ACH.000689","M","MSL","0","0.080876350932184","-0.465438991739315","0.263765087450071","-0.0299409018186567","0.214875763215463","-0.231288296818711","0","0","1","0","1"
"ACH.000459","ND","ND","1","0.157431895604097","-0.230831183813846","-0.269402814510073","0.132813095199225","0.00194817209216269","0.328588064997116","0","0","0","0","0"
"ACH.001413","LAR","ND","0","-0.126348211273277","0.0847509278305634","-0.181767721291671","0.241170644638173","0.104950969188407","0.0933054712073225","0","0","0","1","0"
"ACH.000686","BL2","ND","0","0.063701962320828","0.36265386750253","-0.249986395446284","-0.0374723827559561","-0.36722499755118","0.163962081387882","0","1","0","0","0"
"ACH.000342","BL2","LAR","0","-0.294979375496566","0.30409986830792","0.0785907859078591","0.215049901503031","0.0736278447121821","-0.200944700210054","0","1","0","1","0"
"ACH.000208","BL2","ND","0","-0.0619388121592059","0.381373733416049","-0.247570226706283","-0.0744985361500201","-0.27538881814521","0.149987483810581","0","1","0","0","0"
"ACH.000360","M","BL1","0","0.298266235674405","-0.517375736006356","0.335379458212253","-0.213569726058706","0.0854692482667799","-0.140714619997606","1","0","1","0","0"
"ACH.000249","ND","ND","0","0.0227576974564926","-0.20553759754465","0.182290136154374","-0.0499450376029865","-0.00251412152675744","-0.16380971038626","0","0","0","0","0"
"ACH.001368","ND","ND","0","0.178480861113832","-0.251314199888987","0.0712334432581274","-0.0275029657927101","-0.0101544388937865","0.0624829943078547","0","0","0","0","0"
"ACH.000231","BL2","ND","0","-0.128960285586792","0.468203437054451","-0.25011699916196","0.0244555457602769","-0.235990030583037","0.0589131594127186","0","1","0","0","0"
"ACH.000945","M","ND","0","0.140562248995984","-0.462674546424179","0.276760157159805","-0.0535148724981226","-0.0184913094110861","-0.204449233247353","0","0","1","0","0"
"ACH.000662","M","ND","0","0.0642243771835309","-0.304252239309542","0.325997757969548","-0.0980072049716481","0.0694702930965053","-0.234727527998172","0","0","1","0","0"
